hour,wind,solar,coal,gas,DSM_up,DSM_down
105,7600.0,3235.38645178399,0.0,0.0,558.640011395315,0.0
106,6000.0,5107.829854175432,0.0,0.0,242.48501100037174,0.0
107,6400.0,3663.440406079897,0.0,0.0,351.49326198337803,0.0
108,6799.999999999999,6400.0,4474.612743501704,0.0,0.0,886.9404115064171
109,7200.0,6400.0,2085.5003154463575,0.0,0.0,839.5084762325478
110,7600.0,6400.0,2778.965826750051,0.0,260.9596639825195,0.0
111,6000.0,6400.0,4118.292148725946,0.0,312.87093937738064,0.0
112,6400.0,6400.0,1807.8067564149496,0.0,558.640011395315,0.0
113,6799.999999999999,6400.0,3806.4500453752407,0.0,242.48501100037174,0.0
114,7200.0,3225.903118734519,0.0,0.0,351.49326198337803,0.0
115,7600.0,5116.053911219067,0.0,0.0,0.0,886.9404115064171
116,6000.0,-0.0,4035.932104729738,4000.0,0.0,839.5084762325478
117,6400.0,-0.0,1443.6795135333978,4000.0,260.9596639825195,0.0
118,6799.999999999999,-0.0,884.0919454375389,4000.0,312.87093937738064,0.0
119,7200.0,-0.0,1024.5509191860056,4000.0,558.640011395315,0.0
120,7600.0,-0.0,0.0,757.6522125378469,242.48501100037174,0.0
121,6000.0,-0.0,0.0,1371.314246619797,351.49326198337803,0.0
122,6400.0,-0.0,0.0,2489.79458680499,0.0,886.9404115064171
123,6799.999999999999,-0.0,0.0,2790.575441954922,0.0,839.5084762325478
124,7200.0,-0.0,0.0,23.800573804428495,260.9596639825195,0.0
125,7600.0,-0.0,0.0,0.0,312.87093937738064,0.0
126,6000.0,-0.0,1901.3988451301611,4000.0,558.640011395315,0.0
127,6400.0,3953.530212722948,0.0,0.0,242.48501100037174,0.0
128,6799.999999999999,3514.185950439557,0.0,0.0,351.49326198337803,0.0
129,7200.0,5592.4087469130955,0.0,0.0,0.0,886.9404115064171
130,7600.0,4014.956403169046,0.0,0.0,0.0,839.5084762325478
131,6000.0,5508.409305042493,0.0,0.0,260.9596639825195,0.0
132,6400.0,6400.0,2574.7873270119544,0.0,312.87093937738064,0.0
133,6799.999999999999,6400.0,2130.5288267829583,0.0,558.640011395315,0.0
134,7200.0,6400.0,2591.2086168096175,0.0,242.48501100037174,0.0
135,7600.0,6400.0,1999.965144332571,0.0,351.49326198337803,0.0
136,6000.0,6400.0,5000.0,0.0,0.0,886.9404115064171
137,6400.0,6400.0,4402.345457153384,0.0,0.0,839.5084762325478
138,6799.999999999999,5794.3150936758275,0.0,0.0,260.9596639825195,0.0
139,7200.0,5579.262456484177,0.0,0.0,312.87093937738064,0.0
140,7600.0,-0.0,0.0,3861.3385569206275,558.640011395315,0.0
141,6000.0,-0.0,2880.412531133399,4000.0,242.48501100037174,0.0
142,6400.0,-0.0,1429.3923460531696,4000.0,351.49326198337803,0.0
143,6799.999999999999,-0.0,1106.6643567530382,4000.0,0.0,886.9404115064171
144,7200.0,-0.0,0.0,1649.1125410885998,0.0,839.5084762325478
145,7579.601280864772,0.0,0.0,0.0,260.9596639825195,0.0
146,6000.0,-0.0,0.0,1512.2413166446659,312.87093937738064,0.0
147,6400.0,-0.0,0.0,460.3746273267561,558.640011395315,0.0
148,6799.999999999999,-0.0,0.0,898.0074887629216,242.48501100037174,0.0
149,7200.0,-0.0,0.0,764.8424561764386,351.49326198337803,0.0
150,7600.0,-0.0,887.1367300172169,4000.0,0.0,886.9404115064171
151,6000.0,5475.926646552483,0.0,0.0,0.0,839.5084762325478
152,6400.0,4362.664068672229,0.0,0.0,260.9596639825195,0.0
153,6799.999999999999,3613.5939548310243,0.0,0.0,312.87093937738064,0.0
154,7200.0,3364.7853487813463,0.0,0.0,558.640011395315,0.0
155,7600.0,4577.6418697270965,0.0,0.0,242.48501100037174,0.0
156,6000.0,6400.0,3298.6400395796627,0.0,351.49326198337803,0.0
157,6400.0,6400.0,2863.0952602955786,0.0,0.0,886.9404115064171
158,6799.999999999999,6400.0,4090.7451919499854,0.0,0.0,839.5084762325478
159,7200.0,6400.0,3547.9786578583935,0.0,260.9596639825195,0.0
160,7600.0,6400.0,1060.4097227645198,0.0,312.87093937738064,0.0
161,6000.0,6400.0,2643.386313836454,0.0,558.640011395315,0.0
162,6400.0,4535.496198605266,0.0,0.0,242.48501100037174,0.0
163,6799.999999999999,6258.033068359203,0.0,0.0,351.49326198337803,0.0
164,7200.0,-0.0,1054.8257929443462,4000.0,0.0,886.9404115064171
165,7600.0,-0.0,1728.5034595500274,4000.0,0.0,839.5084762325478
166,6000.0,-0.0,2272.0803361752533,4000.0,260.9596639825195,0.0
167,6400.0,-0.0,0.0,3726.6324553351533,312.87093937738064,0.0
168,6799.999999999999,-0.0,0.0,678.8787625006707,558.640011395315,0.0
169,7200.0,-0.0,0.0,705.730637314984,242.48501100037174,0.0
170,7090.893246658575,0.0,0.0,0.0,351.49326198337803,0.0
171,6000.0,-0.0,0.0,3115.782356069629,0.0,886.9404115064171
172,6400.0,-0.0,0.0,3099.496178183914,0.0,839.5084762325478
173,6799.999999999999,-0.0,0.0,797.8939116908286,260.9596639825195,0.0
174,7200.0,-0.0,1045.1821646022127,4000.0,312.87093937738064,0.0
175,7600.0,2010.8474446607252,0.0,0.0,558.640011395315,0.0
176,6000.0,4634.683429954239,0.0,0.0,242.48501100037174,0.0
177,6400.0,2729.2731061856903,0.0,0.0,351.49326198337803,0.0
178,6799.999999999999,4696.736803841032,0.0,0.0,0.0,886.9404115064171
179,7200.0,4753.913395850968,0.0,0.0,0.0,839.5084762325478
180,7600.0,6400.0,2564.658698473866,0.0,260.9596639825195,0.0
181,6000.0,6400.0,4559.930149145193,0.0,312.87093937738064,0.0
182,6400.0,6400.0,3484.9942216258187,0.0,558.640011395315,0.0
183,6799.999999999999,6400.0,2428.0422157128487,0.0,242.48501100037174,0.0
184,7200.0,6400.0,2316.5740789776464,0.0,351.49326198337803,0.0
