hour,biomasse,wasserkraft,wind_offshore,wind_onshore,photovoltaik,sonstige_erneuerbare,braunkohle,steinkohle,erdgas,pumpspeicher,sonstige_konventionelle
247,1,1,0.6749,0.3695,0,1,1,1,1,1,1
248,1,1,0.6641,0.3845,0.0040,1,1,1,1,1,1
249,1,1,0.6442,0.3975,0.0260,1,1,1,1,1,1
250,1,1,0.6221,0.3975,0.0510,1,1,1,1,1,1
251,1,1,0.6292,0.3704,0.0670,1,1,1,1,1,1
252,1,1,0.6375,0.3398,0.0620,1,1,1,1,1,1
253,1,1,0.6374,0.3018,0.0430,1,1,1,1,1,1
254,1,1,0.6398,0.2765,0.0230,1,1,1,1,1,1
255,1,1,0.6465,0.2547,0.0060,1,1,1,1,1,1
256,1,1,0.6726,0.236,0,1,1,1,1,1,1
257,1,1,0.6893,0.2221,0,1,1,1,1,1,1
258,1,1,0.6836,0.1981,0,1,1,1,1,1,1
259,1,1,0.6525,0.1695,0,1,1,1,1,1,1
260,1,1,0.5953,0.1481,0,1,1,1,1,1,1
261,1,1,0.5119,0.1229,0,1,1,1,1,1,1
262,1,1,0.4218,0.102,0,1,1,1,1,1,1
263,1,1,0.3464,0.0855,0,1,1,1,1,1,1
264,1,1,0.2806,0.0738,0,1,1,1,1,1,1
265,1,1,0.2062,0.0694,0,1,1,1,1,1,1
266,1,1,0.1619,0.0767,0,1,1,1,1,1,1
267,1,1,0.1469,0.0892,0,1,1,1,1,1,1
268,1,1,0.1299,0.0998,0,1,1,1,1,1,1
269,1,1,0.0981,0.1108,0,1,1,1,1,1,1
270,1,1,0.067,0.1303,0,1,1,1,1,1,1
271,1,1,0.0804,0.1554,0,1,1,1,1,1,1
272,1,1,0.1218,0.1769,0.0010,1,1,1,1,1,1
273,1,1,0.1436,0.1804,0.0190,1,1,1,1,1,1
274,1,1,0.1458,0.147,0.0430,1,1,1,1,1,1
275,1,1,0.146,0.1285,0.0610,1,1,1,1,1,1
276,1,1,0.1609,0.1476,0.0710,1,1,1,1,1,1
277,1,1,0.1892,0.1533,0.0590,1,1,1,1,1,1
278,1,1,0.2181,0.1432,0.0350,1,1,1,1,1,1
279,1,1,0.2508,0.1401,0.0110,1,1,1,1,1,1
280,1,1,0.2959,0.1695,0,1,1,1,1,1,1
281,1,1,0.3549,0.1758,0,1,1,1,1,1,1
282,1,1,0.395,0.1746,0,1,1,1,1,1,1
283,1,1,0.4155,0.1637,0,1,1,1,1,1,1
284,1,1,0.4148,0.1623,0,1,1,1,1,1,1
285,1,1,0.4005,0.1636,0,1,1,1,1,1,1
286,1,1,0.3979,0.1659,0,1,1,1,1,1,1
287,1,1,0.3943,0.1679,0,1,1,1,1,1,1
288,1,1,0.3789,0.1763,0,1,1,1,1,1,1
289,1,1,0.3584,0.1867,0,1,1,1,1,1,1
290,1,1,0.3426,0.2029,0,1,1,1,1,1,1
291,1,1,0.33,0.2231,0,1,1,1,1,1,1
292,1,1,0.3288,0.2414,0,1,1,1,1,1,1
293,1,1,0.3379,0.2631,0,1,1,1,1,1,1
294,1,1,0.3535,0.3052,0,1,1,1,1,1,1
295,1,1,0.3734,0.3658,0,1,1,1,1,1,1
296,1,1,0.3943,0.4263,0,1,1,1,1,1,1
